timestamp,joint_positions,joint_velocities,object_position,target_position,last_action,interpered_actions
1745586297.5981336,"[0.001667769199370235, 0.009419301195359275, 0.0032664038947505893, 0.028942513701874617, 0.05631472712272067, 0.0245910669890268, 0.08760153933223691, -0.03997209166576795, -0.03997209166576795]","[0.0012404425135421435, -0.0005128373978531295, 0.0010840925740006123, 0.0011460033447082889, -0.001650001879989946, -0.001254049554883273, -0.0005332484300464433, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6074698,"[0.001667769199370235, 0.009419301195359275, 0.0032664038947505893, 0.028942513701874617, 0.05631472712272067, 0.0245910669890268, 0.08760153933223691, -0.03997209166576795, -0.03997209166576795]","[0.0012404425135421435, -0.0005128373978531295, 0.0010840925740006123, 0.0011460033447082889, -0.001650001879989946, -0.001254049554883273, -0.0005332484300464433, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6173046,"[0.00166434415790785, 0.009421473417766668, 0.0032621237157470706, 0.02893893130587699, 0.05631564650606036, 0.0245418115806042, 0.08760938163590237, -0.03997209166576795, -0.03997209166576795]","[-0.00022259095149704724, -0.0012052002973622815, -0.00022416757628446885, -0.0005585286708708964, 0.0003105598792590253, -0.0015607455892497812, 0.0015222184202894902, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6275272,"[0.00166434415790785, 0.009421473417766668, 0.0032621237157470706, 0.02893893130587699, 0.05631564650606036, 0.0245418115806042, 0.08760938163590237, -0.03997209166576795, -0.03997209166576795]","[-0.00022259095149704724, -0.0012052002973622815, -0.00022416757628446885, -0.0005585286708708964, 0.0003105598792590253, -0.0015607455892497812, 0.0015222184202894902, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6375277,"[0.00166434415790785, 0.009421473417766668, 0.0032621237157470706, 0.02893893130587699, 0.05631564650606036, 0.0245418115806042, 0.08760938163590237, -0.03997209166576795, -0.03997209166576795]","[-0.00022259095149704724, -0.0012052002973622815, -0.00022416757628446885, -0.0005585286708708964, 0.0003105598792590253, -0.0015607455892497812, 0.0015222184202894902, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6472602,"[0.0016643440496643888, 0.00942316036619939, 0.0032664637061317965, 0.02893891785746483, 0.05631804130405515, 0.024467199494627057, 0.08760290638408197, -0.03997209166576795, -0.03997209166576795]","[0.0002513461541219038, -2.722758207383087e-06, 0.000649676292696786, -0.0014511498934799264, 0.0011475110481646276, -0.0016641191327095542, 7.163690587657365e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6572263,"[0.0016643440496643888, 0.00942316036619939, 0.0032664637061317965, 0.02893891785746483, 0.05631804130405515, 0.024467199494627057, 0.08760290638408197, -0.03997209166576795, -0.03997209166576795]","[0.0002513461541219038, -2.722758207383087e-06, 0.000649676292696786, -0.0014511498934799264, 0.0011475110481646276, -0.0016641191327095542, 7.163690587657365e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6672416,"[0.0016643440496643888, 0.00942316036619939, 0.0032664637061317965, 0.02893891785746483, 0.05631804130405515, 0.024467199494627057, 0.08760290638408197, -0.03997209166576795, -0.03997209166576795]","[0.0002513461541219038, -2.722758207383087e-06, 0.000649676292696786, -0.0014511498934799264, 0.0011475110481646276, -0.0016641191327095542, 7.163690587657365e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.677167,"[0.0016643440496643888, 0.00942316036619939, 0.0032664637061317965, 0.02893891785746483, 0.05631804130405515, 0.024467199494627057, 0.08760290638408197, -0.03997209166576795, -0.03997209166576795]","[0.0002513461541219038, -2.722758207383087e-06, 0.000649676292696786, -0.0014511498934799264, 0.0011475110481646276, -0.0016641191327095542, 7.163690587657365e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.6871905,"[0.0016660566786390427, 0.009419383466801046, 0.0032663339667595584, 0.028936187991423612, 0.05631437162985174, 0.02440135065833804, 0.08760063344992253, -0.03997209166576795, -0.03997209166576795]","[0.0006135477933976257, -0.00038512584882972824, 0.0006503449655998125, -0.0014001975118205327, -0.0009024795327801152, -0.0014443590984690635, -1.3180738806870722e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
